id,name,created_at,updated_at
1,SANTA ROSA,2025-08-13 17:14:23,2025-08-13 17:14:23
2,TAMBO QUEMADO,2025-08-13 17:14:23,2025-08-13 17:14:23
3,USPALLATA,2025-08-13 17:14:23,2025-08-13 17:14:23
4,KAZAJSTAN,2025-08-13 17:14:23,2025-08-13 17:14:23
5,SAO BORJA,2025-08-13 17:14:23,2025-08-13 17:14:23
6,LOS ANGELES,2025-08-13 17:14:23,2025-08-13 17:14:23
7,TAIPEI,2025-08-13 17:14:23,2025-08-13 17:14:23
8,MIAMI,2025-08-13 17:14:23,2025-08-13 17:14:23
9,SEOUL,2025-08-13 17:14:23,2025-08-13 17:14:23
10,VALENCIA,2025-08-13 17:14:23,2025-08-13 17:14:23
11,DALLAS,2025-08-13 17:14:23,2025-08-13 17:14:23
12,CALLAO,2025-08-13 17:14:23,2025-08-13 17:14:23
13,GUAYAQUIL,2025-08-13 17:14:23,2025-08-13 17:14:23
14,LA GUAIRA,2025-08-13 17:14:23,2025-08-13 17:14:23
15,CIUDAD DE GUATEMALA,2025-08-13 17:14:23,2025-08-13 17:14:23
16,CORINTO,2025-08-13 17:14:23,2025-08-13 17:14:23
17,ACAJUTLA,2025-08-13 17:14:23,2025-08-13 17:14:23
18,BALBOA,2025-08-13 17:14:23,2025-08-13 17:14:23
19,IGUACU FOZ,2025-08-13 17:14:23,2025-08-13 17:14:23
20,FRAY BENTOS,2025-08-13 17:14:23,2025-08-13 17:14:23
21,TOKYO,2025-08-13 17:14:23,2025-08-13 17:14:23
22,ATLANTA,2025-08-13 17:14:23,2025-08-13 17:14:23
23,DIONISIO CERQUEIRA,2025-08-13 17:14:23,2025-08-13 17:14:23
24,NEW YORK,2025-08-13 17:14:23,2025-08-13 17:14:23
25,FRANKFURT,2025-08-13 17:14:23,2025-08-13 17:14:23
26,SHANGHAI,2025-08-13 17:14:23,2025-08-13 17:14:23
27,SHENZHEN,2025-08-13 17:14:23,2025-08-13 17:14:23
28,BANGKOK,2025-08-13 17:14:23,2025-08-13 17:14:23
29,SANTOS,2025-08-13 17:14:23,2025-08-13 17:14:23
30,RIO DE JANEIRO,2025-08-13 17:14:23,2025-08-13 17:14:23
31,MARIEL,2025-08-13 17:14:23,2025-08-13 17:14:23
32,HAMBURG,2025-08-13 17:14:23,2025-08-13 17:14:23
33,BELARUS,2025-08-13 17:14:23,2025-08-13 17:14:23
34,ALGECIRAS,2025-08-13 17:14:23,2025-08-13 17:14:23
35,BUENAVENTURA,2025-08-13 17:14:23,2025-08-13 17:14:23
36,ROTTERDAM,2025-08-13 17:14:23,2025-08-13 17:14:23
37,PORT HUENEME,2025-08-13 17:14:23,2025-08-13 17:14:23
38,TORONTO,2025-08-13 17:14:23,2025-08-13 17:14:23
39,CALDERA,2025-08-13 17:14:23,2025-08-13 17:14:23
40,PUERTO CORTES,2025-08-13 17:14:23,2025-08-13 17:14:23
41,LISBON,2025-08-13 17:14:23,2025-08-13 17:14:23
42,MONTREAL,2025-08-13 17:14:23,2025-08-13 17:14:23
43,MARSEILLE,2025-08-13 17:14:23,2025-08-13 17:14:23
44,QUETZAL,2025-08-13 17:14:23,2025-08-13 17:14:23
45,HEREDIA,2025-08-13 17:14:23,2025-08-13 17:14:23
46,ZURICH,2025-08-13 17:14:23,2025-08-13 17:14:23
47,PHILADELPHIA,2025-08-13 17:14:23,2025-08-13 17:14:23
48,SAN PEDRO DE SULA,2025-08-13 17:14:23,2025-08-13 17:14:23
49,BARCELONA,2025-08-13 17:14:23,2025-08-13 17:14:23
50,VIENA,2025-08-13 17:14:23,2025-08-13 17:14:23
51,KALININGRAD,2025-08-13 17:14:23,2025-08-13 17:14:23
52,PIPAVAV,2025-08-13 17:14:23,2025-08-13 17:14:23
53,TILBURI,2025-08-13 17:14:23,2025-08-13 17:14:23
54,BARRANQUILLA,2025-08-13 17:14:23,2025-08-13 17:14:23
55,LONDON,2025-08-13 17:14:23,2025-08-13 17:14:23
56,SAN PETERSBURGO,2025-08-13 17:14:23,2025-08-13 17:14:23
57,GENOA,2025-08-13 17:14:23,2025-08-13 17:14:23
58,MUMBAI,2025-08-13 17:14:23,2025-08-13 17:14:23
59,OAKLAND,2025-08-13 17:14:23,2025-08-13 17:14:23
60,KUWAIT,2025-08-13 17:14:23,2025-08-13 17:14:23
61,LIVORNO,2025-08-13 17:14:23,2025-08-13 17:14:23
62,LAS PALMAS,2025-08-13 17:14:23,2025-08-13 17:14:23
63,MUNDRA,2025-08-13 17:14:23,2025-08-13 17:14:23
64,HOUSTON,2025-08-13 17:14:23,2025-08-13 17:14:23
65,LEIXOES,2025-08-13 17:14:23,2025-08-13 17:14:23
66,FELIXSTOWE,2025-08-13 17:14:23,2025-08-13 17:14:23
67,PUERTO LIMON,2025-08-13 17:14:23,2025-08-13 17:14:23
68,BOBADELA,2025-08-13 17:14:23,2025-08-13 17:14:23
69,CHINA,2025-08-13 17:14:23,2025-08-13 17:14:23
70,MANZANILLO,2025-08-13 17:14:23,2025-08-13 17:14:23
71,KLEIPEDA,2025-08-13 17:14:23,2025-08-13 17:14:23
72,CAUCEDO,2025-08-13 17:14:23,2025-08-13 17:14:23
73,NAPLES,2025-08-13 17:14:23,2025-08-13 17:14:23
74,MERSIN,2025-08-13 17:14:23,2025-08-13 17:14:23
75,CARTAGENA,2025-08-13 17:14:23,2025-08-13 17:14:23
76,MALAGA,2025-08-13 17:14:23,2025-08-13 17:14:23
77,CASABLANCA,2025-08-13 17:14:23,2025-08-13 17:14:23
78,SALERMO,2025-08-13 17:14:23,2025-08-13 17:14:23
79,MONTOIR DE BRETAGNE,2025-08-13 17:14:23,2025-08-13 17:14:23
80,GDYNIA,2025-08-13 17:14:23,2025-08-13 17:14:23
81,PIRAEUS,2025-08-13 17:14:23,2025-08-13 17:14:23
82,LE HAVRE,2025-08-13 17:14:23,2025-08-13 17:14:23
83,DUBAI,2025-08-13 17:14:23,2025-08-13 17:14:23
84,CHENNAI,2025-08-13 17:14:23,2025-08-13 17:14:23
85,KOPER,2025-08-13 17:14:23,2025-08-13 17:14:23
86,SAN JUAN,2025-08-13 17:14:23,2025-08-13 17:14:23
87,URUGUAINA,2025-08-13 17:14:23,2025-08-13 17:14:23
88,KUALA LUMPUR,2025-08-13 17:14:23,2025-08-13 17:14:23
89,NEW DELHI,2025-08-13 17:14:23,2025-08-13 17:14:23
90,BUSAN,2025-08-13 17:14:23,2025-08-13 17:14:23
91,JEDDAH,2025-08-13 17:14:23,2025-08-13 17:14:23
92,CIVITAVECCHIA,2025-08-13 17:14:23,2025-08-13 17:14:23
93,RIGA,2025-08-13 17:14:23,2025-08-13 17:14:23
94,EL RINCON,2025-08-13 17:14:23,2025-08-13 17:14:23
95,PINO HACHADO,2025-08-13 17:14:23,2025-08-13 17:14:23
96,KEELUNG,2025-08-13 17:14:23,2025-08-13 17:14:23
97,HO CHI MINH,2025-08-13 17:14:23,2025-08-13 17:14:23
98,TIANJIN,2025-08-13 17:14:23,2025-08-13 17:14:23
99,AMSTERDAM,2025-08-13 17:14:23,2025-08-13 17:14:23
100,YOKOHAMA,2025-08-13 17:14:23,2025-08-13 17:14:23
101,TAICHUNG,2025-08-13 17:14:23,2025-08-13 17:14:23
102,BAHRAIN,2025-08-13 17:14:23,2025-08-13 17:14:23
103,DAMMAN,2025-08-13 17:14:23,2025-08-13 17:14:23
104,ANTWERP,2025-08-13 17:14:23,2025-08-13 17:14:23
105,VIGO,2025-08-13 17:14:23,2025-08-13 17:14:23
106,ONTARIO,2025-08-13 17:14:23,2025-08-13 17:14:23
107,SEATTLE,2025-08-13 17:14:23,2025-08-13 17:14:23
108,KOBE,2025-08-13 17:14:23,2025-08-13 17:14:23
109,BERLIN,2025-08-13 17:14:23,2025-08-13 17:14:23
110,OSAKA,2025-08-13 17:14:23,2025-08-13 17:14:23
111,VANCOUVER,2025-08-13 17:14:23,2025-08-13 17:14:23
112,KAOHSIUNG,2025-08-13 17:14:23,2025-08-13 17:14:23
113,SINGAPORE,2025-08-13 17:14:23,2025-08-13 17:14:23
114,XINGANG,2025-08-13 17:14:23,2025-08-13 17:14:23
115,NANSHA,2025-08-13 17:14:23,2025-08-13 17:14:23
116,CHITTAGONG,2025-08-13 17:14:23,2025-08-13 17:14:23
117,GUANGZHOU,2025-08-13 17:14:23,2025-08-13 17:14:23
118,DUBLIN,2025-08-13 17:14:23,2025-08-13 17:14:23
119,AQABA,2025-08-13 17:14:23,2025-08-13 17:14:23
120,SAVANNAH,2025-08-13 17:14:23,2025-08-13 17:14:23
121,GOTHEMBURGO,2025-08-13 17:14:23,2025-08-13 17:14:23
122,DURRES,2025-08-13 17:14:23,2025-08-13 17:14:23
123,SAN SALVADOR,2025-08-13 17:14:23,2025-08-13 17:14:23
124,HELSINBORG,2025-08-13 17:14:23,2025-08-13 17:14:23
125,BREMEN,2025-08-13 17:14:23,2025-08-13 17:14:23
126,KALUNDBORG,2025-08-13 17:14:23,2025-08-13 17:14:23
127,AMBARLI,2025-08-13 17:14:23,2025-08-13 17:14:23
128,SINES,2025-08-13 17:14:23,2025-08-13 17:14:23
129,POTY,2025-08-13 17:14:23,2025-08-13 17:14:23
130,COPENHAGEN,2025-08-13 17:14:23,2025-08-13 17:14:23
131,SANTA CRUZ DE TENERIFE,2025-08-13 17:14:23,2025-08-13 17:14:23
132,TALLIN,2025-08-13 17:14:23,2025-08-13 17:14:23
133,MISURATAH,2025-08-13 17:14:23,2025-08-13 17:14:23
134,OSLO,2025-08-13 17:14:23,2025-08-13 17:14:23
135,HELSINSKY,2025-08-13 17:14:23,2025-08-13 17:14:23
136,LA MARTINICA,2025-08-13 17:14:23,2025-08-13 17:14:23
137,CONSTANZA,2025-08-13 17:14:23,2025-08-13 17:14:23
138,RUSIA,2025-08-13 17:14:23,2025-08-13 17:14:23
139,DOHA,2025-08-13 17:14:23,2025-08-13 17:14:23
140,ELKHOMS,2025-08-13 17:14:23,2025-08-13 17:14:23
141,FRANCIA,2025-08-13 17:14:23,2025-08-13 17:14:23
142,PORT SAID,2025-08-13 17:14:23,2025-08-13 17:14:23
143,TUNIS,2025-08-13 17:14:23,2025-08-13 17:14:23
144,GLOUCESTER,2025-08-13 17:14:23,2025-08-13 17:14:23
145,BEIRUT,2025-08-13 17:14:23,2025-08-13 17:14:23
146,LA HABANA,2025-08-13 17:14:23,2025-08-13 17:14:23
147,TEGUCIGALPA,2025-08-13 17:14:23,2025-08-13 17:14:23
148,TANGER,2025-08-13 17:14:23,2025-08-13 17:14:23
149,SYDNEY,2025-08-13 17:14:23,2025-08-13 17:14:23
150,SURABAYA,2025-08-13 17:14:23,2025-08-13 17:14:23
151,JAKARTA,2025-08-13 17:14:23,2025-08-13 17:14:23
152,HONG KONG,2025-08-13 17:14:23,2025-08-13 17:14:23
153,MARSAXLOKK,2025-08-13 17:14:23,2025-08-13 17:14:23
154,ASHDOD,2025-08-13 17:14:23,2025-08-13 17:14:23
155,BIZERTA,2025-08-13 17:14:23,2025-08-13 17:14:23
156,DEGRAD DES CANNES,2025-08-13 17:14:23,2025-08-13 17:14:23
157,SOUTHAMPTON,2025-08-13 17:14:23,2025-08-13 17:14:23
158,ADELAIDE,2025-08-13 17:14:23,2025-08-13 17:14:23
159,PTO.CABELLO,2025-08-13 17:14:23,2025-08-13 17:14:23
160,SALONICA,2025-08-13 17:14:23,2025-08-13 17:14:23
161,VADO,2025-08-13 17:14:23,2025-08-13 17:14:23
162,EL SALVADOR,2025-08-13 17:14:23,2025-08-13 17:14:23
163,NEW JERSEY,2025-08-13 17:14:23,2025-08-13 17:14:23
164,KING ABDULLAH,2025-08-13 17:14:23,2025-08-13 17:14:23
165,ESTAMBUL,2025-08-13 17:14:23,2025-08-13 17:14:23
166,MADRID,2025-08-13 17:14:23,2025-08-13 17:14:23
167,PARIS,2025-08-13 17:14:23,2025-08-13 17:14:23
168,MUMBA,2025-08-13 17:14:23,2025-08-13 17:14:23
169,C.DE MEXICO,2025-08-13 17:14:23,2025-08-13 17:14:23
170,SAN JOSE,2025-08-13 17:14:23,2025-08-13 17:14:23
171,PHNOM PENH,2025-08-13 17:14:23,2025-08-13 17:14:23
172,BOGOTA,2025-08-13 17:14:23,2025-08-13 17:14:23
173,MANILA,2025-08-13 17:14:23,2025-08-13 17:14:23
174,SHEREMETYEVO,2025-08-13 17:14:23,2025-08-13 17:14:23
175,TOCUMEN,2025-08-13 17:14:23,2025-08-13 17:14:23
176,SAO PAULO,2025-08-13 17:14:23,2025-08-13 17:14:23
177,GUARULITOS,2025-08-13 17:14:23,2025-08-13 17:14:23
178,MILAN,2025-08-13 17:14:23,2025-08-13 17:14:23
179,MOSCU,2025-08-13 17:14:23,2025-08-13 17:14:23
180,CIUDAD DE PANAMA,2025-08-13 17:14:23,2025-08-13 17:14:23
181,TEL-AVIV,2025-08-13 17:14:23,2025-08-13 17:14:23
182,CARACAS,2025-08-13 17:14:23,2025-08-13 17:14:23
183,MELBOURNE,2025-08-13 17:14:23,2025-08-13 17:14:23
184,INGLATERRA,2025-08-13 17:14:23,2025-08-13 17:14:23
185,LAZARO,2025-08-13 17:14:23,2025-08-13 17:14:23
186,QUINDAO,2025-08-13 17:14:23,2025-08-13 17:14:23
187,DURBAN,2025-08-13 17:14:23,2025-08-13 17:14:23
188,PAPEETE,2025-08-13 17:14:23,2025-08-13 17:14:23
189,RIYADH,2025-08-13 17:14:23,2025-08-13 17:14:23
190,BIRSFELDEN,2025-08-13 17:14:23,2025-08-13 17:14:23
191,TAILANDIA,2025-08-13 17:14:23,2025-08-13 17:14:23
192,VNUKOVO,2025-08-13 17:14:23,2025-08-13 17:14:23
193,QUITO,2025-08-13 17:14:23,2025-08-13 17:14:23
194,COSTA RICA,2025-08-13 17:14:23,2025-08-13 17:14:23
195,AIRPORT OF BAIYUN-GUANGZHOU,2025-08-13 17:14:23,2025-08-13 17:14:23
196,NINGBO,2025-08-13 17:14:23,2025-08-13 17:14:23
