id,name,market_id,created_at,updated_at
1,PERU,10,2025-08-13 17:14:23,2025-08-13 17:14:23
2,BOLIVIA,10,2025-08-13 17:14:23,2025-08-13 17:14:23
3,ARGENTINA,10,2025-08-13 17:14:23,2025-08-13 17:14:23
4,KAZAJSTAN,4,2025-08-13 17:14:23,2025-08-13 17:14:23
5,BRAZIL,10,2025-08-13 17:14:23,2025-08-13 17:14:23
6,UNITED STATES,16,2025-08-13 17:14:23,2025-08-13 17:14:23
7,TAIWAN (PROVINCE OF CHINA),3,2025-08-13 17:14:23,2025-08-13 17:14:23
8,UNITED STATES,15,2025-08-13 17:14:23,2025-08-13 17:14:23
9,THE REPUBLIC OF KOREA,3,2025-08-13 17:14:23,2025-08-13 17:14:23
10,SPAIN,13,2025-08-13 17:14:23,2025-08-13 17:14:23
11,ECUADOR,10,2025-08-13 17:14:23,2025-08-13 17:14:23
12,VENEZUELA,10,2025-08-13 17:14:23,2025-08-13 17:14:23
13,GUATEMALA,2,2025-08-13 17:14:23,2025-08-13 17:14:23
14,NICARAGUA,2,2025-08-13 17:14:23,2025-08-13 17:14:23
15,EL SALVADOR,2,2025-08-13 17:14:23,2025-08-13 17:14:23
16,PANAMA,2,2025-08-13 17:14:23,2025-08-13 17:14:23
17,URUGUAY,10,2025-08-13 17:14:23,2025-08-13 17:14:23
18,JAPAN,3,2025-08-13 17:14:23,2025-08-13 17:14:23
19,GERMANY,8,2025-08-13 17:14:23,2025-08-13 17:14:23
20,CHINA,3,2025-08-13 17:14:23,2025-08-13 17:14:23
21,THAILAND,12,2025-08-13 17:14:23,2025-08-13 17:14:23
22,CUBA,2,2025-08-13 17:14:23,2025-08-13 17:14:23
23,BELARUS,4,2025-08-13 17:14:23,2025-08-13 17:14:23
24,COLOMBIA,10,2025-08-13 17:14:23,2025-08-13 17:14:23
25,THE NETHERLAND,8,2025-08-13 17:14:23,2025-08-13 17:14:23
26,CANADA,1,2025-08-13 17:14:23,2025-08-13 17:14:23
27,COSTA RICA,2,2025-08-13 17:14:23,2025-08-13 17:14:23
28,HONDURAS,2,2025-08-13 17:14:23,2025-08-13 17:14:23
29,PORTUGAL,13,2025-08-13 17:14:23,2025-08-13 17:14:23
30,FRANCE,8,2025-08-13 17:14:23,2025-08-13 17:14:23
31,SWITZERLAND,8,2025-08-13 17:14:23,2025-08-13 17:14:23
32,AUSTRIA,8,2025-08-13 17:14:23,2025-08-13 17:14:23
33,RUSSIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
34,INDIA,11,2025-08-13 17:14:23,2025-08-13 17:14:23
35,UNITED KINGDOM,14,2025-08-13 17:14:23,2025-08-13 17:14:23
36,ITALY,13,2025-08-13 17:14:23,2025-08-13 17:14:23
37,KUWAIT,7,2025-08-13 17:14:23,2025-08-13 17:14:23
38,MEXICO,6,2025-08-13 17:14:23,2025-08-13 17:14:23
39,LITHUANIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
40,DOMINICAN REPUBLIC,2,2025-08-13 17:14:23,2025-08-13 17:14:23
41,TURKEY,13,2025-08-13 17:14:23,2025-08-13 17:14:23
42,MOROCCO,5,2025-08-13 17:14:23,2025-08-13 17:14:23
43,POLAND,8,2025-08-13 17:14:23,2025-08-13 17:14:23
44,GREECE,13,2025-08-13 17:14:23,2025-08-13 17:14:23
45,UNITED ARAB EMIRATES,7,2025-08-13 17:14:23,2025-08-13 17:14:23
46,SLOVENIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
47,PUERTO RICO,2,2025-08-13 17:14:23,2025-08-13 17:14:23
48,MALAYSIA,12,2025-08-13 17:14:23,2025-08-13 17:14:23
49,SAUDI ARABIA,7,2025-08-13 17:14:23,2025-08-13 17:14:23
50,LATVIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
51,VIETNAM,12,2025-08-13 17:14:23,2025-08-13 17:14:23
