id,name,created_at,updated_at
1,FRANCISCO GONZALEZ,2025-08-13 17:14:23,2025-08-13 17:14:23
2,COMERC.RF SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
3,EXP.RM SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
4,PROPAL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
5,CALBU SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
6,RONALD CASTILLO,2025-08-13 17:14:23,2025-08-13 17:14:23
7,EXP.SUBSOLE,2025-08-13 17:14:23,2025-08-13 17:14:23
8,ATLAS FRESH SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
9,LOS ORGONES SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
10,AGRICOLA BCM SP,2025-08-13 17:14:23,2025-08-13 17:14:23
11,AGRICOLA GVT SP,2025-08-13 17:14:23,2025-08-13 17:14:23
12,GIDDINGS BERRIES CHI,2025-08-13 17:14:23,2025-08-13 17:14:23
13,HORTIFRUT CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
14,MONDASOL LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
15,FRUTEXSA,2025-08-13 17:14:23,2025-08-13 17:14:23
16,REINA SUR SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
17,S&A CHILE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
18,FRUSAN S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
19,EXP.SAN CLEMENTE S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
20,SAN ALBERTO S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
21,FRUTAM LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
22,UNIFRUTTI SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
23,DOLE-CHILE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
24,TOTAL FRUIT COM,2025-08-13 17:14:23,2025-08-13 17:14:23
25,BAIKA S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
26,AGRICOM SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
27,INVERSIONES HEH,2025-08-13 17:14:23,2025-08-13 17:14:23
28,EASTER ISLAND,2025-08-13 17:14:23,2025-08-13 17:14:23
29,RAFAGRO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
30,SRA MANZANA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
31,SOC.EXP.LA PAZ,2025-08-13 17:14:23,2025-08-13 17:14:23
32,PACIFIC NUT S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
33,EXP.FRUGAL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
34,PURA VIDA LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
35,MIPAL JORGE ROJ,2025-08-13 17:14:23,2025-08-13 17:14:23
36,EL PARQUE LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
37,EXP.SKIFRUIT SP,2025-08-13 17:14:23,2025-08-13 17:14:23
38,SOL D MAULE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
39,ZURGROUP S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
40,PRIZE S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
41,NORFRUT CHILE L,2025-08-13 17:14:23,2025-08-13 17:14:23
42,CHILE TERRA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
43,ALFABERRIES LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
44,INV.AGROBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
45,EMPRESA AGR.HCL TDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
46,LAFRUT LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
47,ELIZABETH GONZALEZ,2025-08-13 17:14:23,2025-08-13 17:14:23
48,PATRONUM SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
49,EL REFUGIO,2025-08-13 17:14:23,2025-08-13 17:14:23
50,IVAN A.ABRIGO,2025-08-13 17:14:23,2025-08-13 17:14:23
51,COM.PROVEFRUT S,2025-08-13 17:14:23,2025-08-13 17:14:23
52,LO GARCES LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
53,EXP.RM LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
54,CRISANTI EXP.SP,2025-08-13 17:14:23,2025-08-13 17:14:23
55,AGROTUNCAHUE LT,2025-08-13 17:14:23,2025-08-13 17:14:23
56,VERONICA ALTAMIR,2025-08-13 17:14:23,2025-08-13 17:14:23
57,FRUFRESH SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
58,GREENVIC SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
59,ANDES SECRET SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
60,EXP.SANTA CRUZ,2025-08-13 17:14:23,2025-08-13 17:14:23
61,AG.LA CAMPANA,2025-08-13 17:14:23,2025-08-13 17:14:23
62,ANDES HARVES FO,2025-08-13 17:14:23,2025-08-13 17:14:23
63,EXP.ALNUEZ S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
64,LA ROSA SOFRUCO,2025-08-13 17:14:23,2025-08-13 17:14:23
65,CABILFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
66,ECOTERRA EXPORT,2025-08-13 17:14:23,2025-08-13 17:14:23
67,CIA CHILENA FRU,2025-08-13 17:14:23,2025-08-13 17:14:23
68,MEYER LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
69,EXP.ANAKENA,2025-08-13 17:14:23,2025-08-13 17:14:23
70,EXP.LABERINTO,2025-08-13 17:14:23,2025-08-13 17:14:23
71,LITORAL TRADE,2025-08-13 17:14:23,2025-08-13 17:14:23
72,CRISPA GOLD S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
73,HUERT.DEL VALLE,2025-08-13 17:14:23,2025-08-13 17:14:23
74,GROWEX S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
75,SMARTNUTS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
76,SNACKBERRIES SP,2025-08-13 17:14:23,2025-08-13 17:14:23
77,JUAN GUTIERREZ LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
78,SOC.C & L FRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
79,RED AND BLUE B,2025-08-13 17:14:23,2025-08-13 17:14:23
80,ROSALES S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
81,AGR.CERES LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
82,AGRICHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
83,COPEFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
84,ALMEVAL S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
85,LA INVERNADA EX,2025-08-13 17:14:23,2025-08-13 17:14:23
86,DOSAL HNOS.,2025-08-13 17:14:23,2025-08-13 17:14:23
87,NUECES DEL SUR,2025-08-13 17:14:23,2025-08-13 17:14:23
88,LA MONTAÑA LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
89,VALBIFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
90,NICOFRUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
91,GRAVO S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
92,TYT EXPORT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
93,EXP.ERFRUT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
94,ANDINEXIA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
95,AGROROFF SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
96,TGS CHILE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
97,PARMEX S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
98,FRUNUT S P A,2025-08-13 17:14:23,2025-08-13 17:14:23
99,AGRISOUTHESTATE,2025-08-13 17:14:23,2025-08-13 17:14:23
100,GREENEX SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
101,EXP.VALVALLE LT,2025-08-13 17:14:23,2025-08-13 17:14:23
102,EXP.QUELEN SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
103,MELIFEN LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
104,VITAKAI S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
105,CHERRY TRADERS,2025-08-13 17:14:23,2025-08-13 17:14:23
106,J.SCHMIDT EXPOR,2025-08-13 17:14:23,2025-08-13 17:14:23
107,CALAFATE SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
108,EXP.RIO KING,2025-08-13 17:14:23,2025-08-13 17:14:23
109,EL ESPINO LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
110,GESEX S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
111,BOTANICA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
112,PACIFIC TANGO S,2025-08-13 17:14:23,2025-08-13 17:14:23
113,MAITENAL LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
114,LA QUIROGA LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
115,FERNANDEZROMERO,2025-08-13 17:14:23,2025-08-13 17:14:23
116,A5 EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
117,BF COMERCIO EXP,2025-08-13 17:14:23,2025-08-13 17:14:23
118,BALLERINA CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
119,EL CANELILLO S.,2025-08-13 17:14:23,2025-08-13 17:14:23
120,GLS EXPORTS LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
121,EXPO HMC,2025-08-13 17:14:23,2025-08-13 17:14:23
122,NUECES DEL CHOA,2025-08-13 17:14:23,2025-08-13 17:14:23
123,FRUTA AUSTRAL,2025-08-13 17:14:23,2025-08-13 17:14:23
124,SAN OSVALDO SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
125,SANTA ELENA S.A,2025-08-13 17:14:23,2025-08-13 17:14:23
126,CERRO EL PLOMO,2025-08-13 17:14:23,2025-08-13 17:14:23
127,AGROFACTOR,2025-08-13 17:14:23,2025-08-13 17:14:23
128,MAHUIDA NUTS S.,2025-08-13 17:14:23,2025-08-13 17:14:23
129,SIGALFRUTTS LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
130,PARTNERS FRUIT,2025-08-13 17:14:23,2025-08-13 17:14:23
131,ONIZZO EXPORT.,2025-08-13 17:14:23,2025-08-13 17:14:23
132,YAGUELMAPU EXP.,2025-08-13 17:14:23,2025-08-13 17:14:23
133,TOPFRUT NUTS LT,2025-08-13 17:14:23,2025-08-13 17:14:23
134,MAGNA TRADING S,2025-08-13 17:14:23,2025-08-13 17:14:23
135,FIUME S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
136,LAND GROWERS,2025-08-13 17:14:23,2025-08-13 17:14:23
137,TRIPLE ALIANZA,2025-08-13 17:14:23,2025-08-13 17:14:23
138,ATP EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
139,THOMSEN CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
140,FRUTAS VYM LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
141,AGRIC.SEMINARIO,2025-08-13 17:14:23,2025-08-13 17:14:23
142,LAHUAL SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
143,GALLARDO JORGE,2025-08-13 17:14:23,2025-08-13 17:14:23
144,SUPERFRUIT LTDA,2025-08-13 17:14:23,2025-08-13 17:14:23
145,OCOA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
146,OPPENHEIMER,2025-08-13 17:14:23,2025-08-13 17:14:23
147,SUR TRADE,2025-08-13 17:14:23,2025-08-13 17:14:23
148,BUINEX SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
149,DELICIAS LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
150,SOLEFRUTTI SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
151,POLAR FRUIT INT,2025-08-13 17:14:23,2025-08-13 17:14:23
152,SURNUT S.A.,2025-08-13 17:14:23,2025-08-13 17:14:23
153,FRUKA SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
154,AGRIC.MONTOLIN,2025-08-13 17:14:23,2025-08-13 17:14:23
155,SOUTH 365 SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
156,EXP.FMS SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
157,CERR.DE TAMAYA,2025-08-13 17:14:23,2025-08-13 17:14:23
158,AUSTRAL EXPORT SPA,2025-08-13 17:14:23,2025-08-13 17:14:23
159,EXSER LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
160,NEW WORLD CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
161,GROWER CHILE,2025-08-13 17:14:23,2025-08-13 17:14:23
162,EXP.VELEZ Y CIA,2025-08-13 17:14:23,2025-08-13 17:14:23
163,EXPOCUMBRES LTD,2025-08-13 17:14:23,2025-08-13 17:14:23
164,INDUFRUT INTERN,2025-08-13 17:14:23,2025-08-13 17:14:23
165,CONDE Y DIAZ LT,2025-08-13 17:14:23,2025-08-13 17:14:23
166,ACOGRAPES LTDA.,2025-08-13 17:14:23,2025-08-13 17:14:23
