id,name,region_id,created_at,updated_at
1,CANADA,5,2025-08-13 17:14:23,2025-08-13 17:14:23
2,CENTRAL AMERICA,1,2025-08-13 17:14:23,2025-08-13 17:14:23
3,EAST ASIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
4,EAST EUROPE,2,2025-08-13 17:14:23,2025-08-13 17:14:23
5,MENA,6,2025-08-13 17:14:23,2025-08-13 17:14:23
6,MEXICO,1,2025-08-13 17:14:23,2025-08-13 17:14:23
7,MIDDLE EAST,6,2025-08-13 17:14:23,2025-08-13 17:14:23
8,NORTH EUROPE,2,2025-08-13 17:14:23,2025-08-13 17:14:23
9,OCEANIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
10,SOUTH AMERICA,1,2025-08-13 17:14:23,2025-08-13 17:14:23
11,SOUTH ASIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
12,SOUTH EAST ASIA,4,2025-08-13 17:14:23,2025-08-13 17:14:23
13,SOUTH EUROPE,2,2025-08-13 17:14:23,2025-08-13 17:14:23
14,UNITED KINGDOM,2,2025-08-13 17:14:23,2025-08-13 17:14:23
15,USA EAST COAST,3,2025-08-13 17:14:23,2025-08-13 17:14:23
16,USA WEST COAST,3,2025-08-13 17:14:23,2025-08-13 17:14:23
