id,name,created_at,updated_at
1,PEARS,2025-08-13 17:14:23,2025-08-13 17:14:23
2,APPLES,2025-08-13 17:14:23,2025-08-13 17:14:23
3,AVOCADOS,2025-08-13 17:14:23,2025-08-13 17:14:23
4,WALNUTS,2025-08-13 17:14:23,2025-08-13 17:14:23
5,KUMQUAT,2025-08-13 17:14:23,2025-08-13 17:14:23
6,BLUEBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
7,CHERIMOYA,2025-08-13 17:14:23,2025-08-13 17:14:23
8,KIWIFRUIT,2025-08-13 17:14:23,2025-08-13 17:14:23
9,GRAPEFRUIT,2025-08-13 17:14:23,2025-08-13 17:14:23
10,ALMONDS,2025-08-13 17:14:23,2025-08-13 17:14:23
11,HAZELNUT,2025-08-13 17:14:23,2025-08-13 17:14:23
12,ORANGES,2025-08-13 17:14:23,2025-08-13 17:14:23
13,MANDARINS,2025-08-13 17:14:23,2025-08-13 17:14:23
14,LEMONS,2025-08-13 17:14:23,2025-08-13 17:14:23
15,CHERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
16,ONIONS,2025-08-13 17:14:23,2025-08-13 17:14:23
17,PLUMS,2025-08-13 17:14:23,2025-08-13 17:14:23
18,GRAPES,2025-08-13 17:14:23,2025-08-13 17:14:23
19,CHESTNUTS,2025-08-13 17:14:23,2025-08-13 17:14:23
20,NASHI PEAR,2025-08-13 17:14:23,2025-08-13 17:14:23
21,CLEMENTINE,2025-08-13 17:14:23,2025-08-13 17:14:23
22,PERSIMMONS,2025-08-13 17:14:23,2025-08-13 17:14:23
23,FEIJOAS,2025-08-13 17:14:23,2025-08-13 17:14:23
24,GARLIC,2025-08-13 17:14:23,2025-08-13 17:14:23
25,QUINCE,2025-08-13 17:14:23,2025-08-13 17:14:23
26,POMEGRANATE,2025-08-13 17:14:23,2025-08-13 17:14:23
27,NECTARINES,2025-08-13 17:14:23,2025-08-13 17:14:23
28,PEACHES,2025-08-13 17:14:23,2025-08-13 17:14:23
29,APRICOT,2025-08-13 17:14:23,2025-08-13 17:14:23
30,LOQUAT,2025-08-13 17:14:23,2025-08-13 17:14:23
31,BABY KIWI,2025-08-13 17:14:23,2025-08-13 17:14:23
32,CRANBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
33,KIWANO,2025-08-13 17:14:23,2025-08-13 17:14:23
34,FIGS,2025-08-13 17:14:23,2025-08-13 17:14:23
35,SARSAPARILLE,2025-08-13 17:14:23,2025-08-13 17:14:23
36,PLUMCOT,2025-08-13 17:14:23,2025-08-13 17:14:23
37,STRAWBERRY MYRTLE,2025-08-13 17:14:23,2025-08-13 17:14:23
38,WINE GRAPES,2025-08-13 17:14:23,2025-08-13 17:14:23
39,RED CURRANTS,2025-08-13 17:14:23,2025-08-13 17:14:23
40,LIMES,2025-08-13 17:14:23,2025-08-13 17:14:23
41,MANGOES,2025-08-13 17:14:23,2025-08-13 17:14:23
42,BLACKBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
43,PINEAPPLES,2025-08-13 17:14:23,2025-08-13 17:14:23
44,POMEGRANATE ARILS,2025-08-13 17:14:23,2025-08-13 17:14:23
45,STRAWBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
46,KUMQUATS,2025-08-13 17:14:23,2025-08-13 17:14:23
47,RASPBERRIES,2025-08-13 17:14:23,2025-08-13 17:14:23
48,PRICKLY PEARS,2025-08-13 17:14:23,2025-08-13 17:14:23
49,EUROPEAN CHESTNUTS,2025-08-13 17:14:23,2025-08-13 17:14:23
50,PAPAYAS,2025-08-13 17:14:23,2025-08-13 17:14:23
