id,name,species_id,variety_name_type,created_at
1,PACKHAM S TRIUMPH,1,pears_variety,2025-08-13 17:14:23
2,SCARLETT,2,apples_variety,2025-08-13 17:14:23
3,GRANNY SMITH,2,apples_variety,2025-08-13 17:14:23
4,ROYAL GALA,2,apples_variety,2025-08-13 17:14:23
5,FUJI,2,apples_variety,2025-08-13 17:14:23
6,PINK LADY,2,apples_variety,2025-08-13 17:14:23
7,HASS,3,avocados_variety,2025-08-13 17:14:23
8,CHANDLER C.C.,4,walnuts_variety,2025-08-13 17:14:23
9,RICHARED DELICIOUS,2,apples_variety,2025-08-13 17:14:23
10,SIN ESPECIFICAR,5,kumquat_variety,2025-08-13 17:14:23
11,VENTURA,6,blueberries_variety,2025-08-13 17:14:23
12,SIN ESPECIFICAR,7,cherimoya_variety,2025-08-13 17:14:23
13,EB 9-2,6,blueberries_variety,2025-08-13 17:14:23
14,ROCIO,6,blueberries_variety,2025-08-13 17:14:23
15,EMERALD,6,blueberries_variety,2025-08-13 17:14:23
16,SIN ESPECIFICAR,4,walnuts_variety,2025-08-13 17:14:23
17,SUZIE BLUE,6,blueberries_variety,2025-08-13 17:14:23
18,FUJI RAKU RAKU,2,apples_variety,2025-08-13 17:14:23
19,CRIPPS PINK,2,apples_variety,2025-08-13 17:14:23
20,HAYWARD,8,kiwifruit_variety,2025-08-13 17:14:23
21,STAR RUBY,9,grapefruit_variety,2025-08-13 17:14:23
22,BLUE RIBBON,6,blueberries_variety,2025-08-13 17:14:23
23,SIN ESPECIFICAR,10,almonds_variety,2025-08-13 17:14:23
24,JEWELL,6,blueberries_variety,2025-08-13 17:14:23
25,ONEIL,6,blueberries_variety,2025-08-13 17:14:23
26,JUPITERBLUE,6,blueberries_variety,2025-08-13 17:14:23
27,FARTHING,6,blueberries_variety,2025-08-13 17:14:23
28,BIANCABLUE,6,blueberries_variety,2025-08-13 17:14:23
29,STELLA BLUE,6,blueberries_variety,2025-08-13 17:14:23
30,CONCHA LISA,7,cherimoya_variety,2025-08-13 17:14:23
31,EB 12-19,6,blueberries_variety,2025-08-13 17:14:23
32,CV1219,6,blueberries_variety,2025-08-13 17:14:23
33,WINTER NELIS,1,pears_variety,2025-08-13 17:14:23
34,AMBROSIA,2,apples_variety,2025-08-13 17:14:23
35,BARCELONA C.C.,11,hazelnut_variety,2025-08-13 17:14:23
36,NON PAREIL S.C.,10,almonds_variety,2025-08-13 17:14:23
37,SERR C.C.,4,walnuts_variety,2025-08-13 17:14:23
38,CHANDLER S.C.,4,walnuts_variety,2025-08-13 17:14:23
39,BARCELONA S.C.,11,hazelnut_variety,2025-08-13 17:14:23
40,NAVEL,12,oranges_variety,2025-08-13 17:14:23
41,INITIO,6,blueberries_variety,2025-08-13 17:14:23
42,EUREKA SUNRISE,6,blueberries_variety,2025-08-13 17:14:23
43,BLUEBERRY,6,blueberries_variety,2025-08-13 17:14:23
44,ATLASBLUE,6,blueberries_variety,2025-08-13 17:14:23
45,CARMEL S.C.,10,almonds_variety,2025-08-13 17:14:23
46,JAZZ,2,apples_variety,2025-08-13 17:14:23
47,FUJI FUBRAX,2,apples_variety,2025-08-13 17:14:23
48,W MURCOTT,13,mandarins_variety,2025-08-13 17:14:23
49,RED CHIEF,2,apples_variety,2025-08-13 17:14:23
50,FORELLE,1,pears_variety,2025-08-13 17:14:23
51,FUJI RAYADA,2,apples_variety,2025-08-13 17:14:23
52,CORONA,6,blueberries_variety,2025-08-13 17:14:23
53,MIDNIGHT,12,oranges_variety,2025-08-13 17:14:23
54,STAR,6,blueberries_variety,2025-08-13 17:14:23
55,MURCOTT,13,mandarins_variety,2025-08-13 17:14:23
56,TANGO,13,mandarins_variety,2025-08-13 17:14:23
57,ORRI,13,mandarins_variety,2025-08-13 17:14:23
58,FRITZ S.C.,10,almonds_variety,2025-08-13 17:14:23
59,EB 8-46,6,blueberries_variety,2025-08-13 17:14:23
60,SERR S.C.,4,walnuts_variety,2025-08-13 17:14:23
61,EUREKA,14,lemons_variety,2025-08-13 17:14:23
62,MAGICA,6,blueberries_variety,2025-08-13 17:14:23
63,CARMEL C.C.,10,almonds_variety,2025-08-13 17:14:23
64,BROOKFIELD,2,apples_variety,2025-08-13 17:14:23
65,LANE LATE,12,oranges_variety,2025-08-13 17:14:23
66,GENOVA,14,lemons_variety,2025-08-13 17:14:23
67,BRAEBURN,2,apples_variety,2025-08-13 17:14:23
68,GEM,3,avocados_variety,2025-08-13 17:14:23
69,PINK LADY CV CRIPPS PINK,2,apples_variety,2025-08-13 17:14:23
70,VALENCIA MIDNIGHT,12,oranges_variety,2025-08-13 17:14:23
71,NAVEL LATE,12,oranges_variety,2025-08-13 17:14:23
72,MAGNIFICA,6,blueberries_variety,2025-08-13 17:14:23
73,PACIFIC GALA,2,apples_variety,2025-08-13 17:14:23
74,GALAXY,2,apples_variety,2025-08-13 17:14:23
75,BROOKS,15,cherries_variety,2025-08-13 17:14:23
76,ARANA,6,blueberries_variety,2025-08-13 17:14:23
77,LEGACY,6,blueberries_variety,2025-08-13 17:14:23
78,RED SPUR,2,apples_variety,2025-08-13 17:14:23
79,FINO 49,14,lemons_variety,2025-08-13 17:14:23
80,ENVY,2,apples_variety,2025-08-13 17:14:23
81,GOLDEN DELICIUS,2,apples_variety,2025-08-13 17:14:23
82,DAYBREAK,6,blueberries_variety,2025-08-13 17:14:23
83,GALA PREMIUM,2,apples_variety,2025-08-13 17:14:23
84,VALENCIANAS,16,onions_variety,2025-08-13 17:14:23
85,ANGELENO,17,plums_variety,2025-08-13 17:14:23
86,COBRA,16,onions_variety,2025-08-13 17:14:23
87,RED GLOBE,18,grape_variety,2025-08-13 17:14:23
88,SWEET FAVORS,18,grape_variety,2025-08-13 17:14:23
89,TIMCO,18,grape_variety,2025-08-13 17:14:23
90,AUTUMN ROYAL,18,grape_variety,2025-08-13 17:14:23
91,CAMPERO,16,onions_variety,2025-08-13 17:14:23
92,CRIMSON,18,grape_variety,2025-08-13 17:14:23
93,JINTAO,8,kiwifruit_variety,2025-08-13 17:14:23
94,GALA,2,apples_variety,2025-08-13 17:14:23
95,KANZI,2,apples_variety,2025-08-13 17:14:23
96,HONEY CRISP,2,apples_variety,2025-08-13 17:14:23
97,DI CASTEL DEL RIO,19,chestnuts_variety,2025-08-13 17:14:23
98,DI CITTA DI CASTELLO,19,chestnuts_variety,2025-08-13 17:14:23
99,CUNEO,19,chestnuts_variety,2025-08-13 17:14:23
100,DI CHIUSA DI PESIO,19,chestnuts_variety,2025-08-13 17:14:23
101,CRIPPS PINK-PINK LADY,2,apples_variety,2025-08-13 17:14:23
102,RED APPLE,2,apples_variety,2025-08-13 17:14:23
103,SHINKO,20,nashi pear_variety,2025-08-13 17:14:23
104,GALA BUCKEYE,2,apples_variety,2025-08-13 17:14:23
105,TENROY ROYAL GALA,2,apples_variety,2025-08-13 17:14:23
106,COSCIA,1,pears_variety,2025-08-13 17:14:23
107,HOSUI,20,nashi pear_variety,2025-08-13 17:14:23
108,ALLISON,18,grape_variety,2025-08-13 17:14:23
109,SWEET JOY,18,grape_variety,2025-08-13 17:14:23
110,SIN ESPECIFICAR,16,onions_variety,2025-08-13 17:14:23
111,MORADAS,16,onions_variety,2025-08-13 17:14:23
112,FUKUMOTO,12,oranges_variety,2025-08-13 17:14:23
113,GREEN FORELL,1,pears_variety,2025-08-13 17:14:23
114,CLEMENUL,21,clementine_variety,2025-08-13 17:14:23
115,ORO GRANDE,21,clementine_variety,2025-08-13 17:14:23
116,ORONULE,21,clementine_variety,2025-08-13 17:14:23
117,ARRUFATI,21,clementine_variety,2025-08-13 17:14:23
118,OPAL,2,apples_variety,2025-08-13 17:14:23
119,FUJI ROYAL,2,apples_variety,2025-08-13 17:14:23
120,FUJI BAGGED,2,apples_variety,2025-08-13 17:14:23
121,CARSAL SEEDLES,18,grape_variety,2025-08-13 17:14:23
122,UNSPECIFIED,2,apples_variety,2025-08-13 17:14:23
123,POLINIZANTE 1,19,chestnuts_variety,2025-08-13 17:14:23
124,CITTA DI CASTELLO,19,chestnuts_variety,2025-08-13 17:14:23
125,CASTEL BORELLO,19,chestnuts_variety,2025-08-13 17:14:23
126,DI CASTELL BORELLO,19,chestnuts_variety,2025-08-13 17:14:23
127,PAZAZZ,2,apples_variety,2025-08-13 17:14:23
128,EUROPEA,19,chestnuts_variety,2025-08-13 17:14:23
129,BOUCHE ROUGE,19,chestnuts_variety,2025-08-13 17:14:23
130,DI MARRADI,19,chestnuts_variety,2025-08-13 17:14:23
131,DI VAL DI SUSA,19,chestnuts_variety,2025-08-13 17:14:23
132,MARRON,19,chestnuts_variety,2025-08-13 17:14:23
133,SIN ESPECIFICAR,19,chestnuts_variety,2025-08-13 17:14:23
134,SATIVA,19,chestnuts_variety,2025-08-13 17:14:23
